time1,sites,transects,year_intervals,time,times,groups,alphaD,alphaD2,spe_sta,spe_asy,alpha_sta
1,ABUR,1,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.079441542,1.16088114,0.546586164,1.98014802,2.526734184
1,ABUR,2,3-year,2011-2013,Ante-heat,SESSILE INVERT,0.84729786,0.216866366,-0.291000437,0.061995814,-0.229004623
2,ABUR,1,3-year,2014-2016,Post-heat,SESSILE INVERT,1.673976434,1.130350775,0.044999419,1.082430576,1.127429995
2,ABUR,2,3-year,2014-2016,Post-heat,SESSILE INVERT,0.287682072,0.006850102,0.017950789,0.297465179,0.315415968
1,ABUR,1,3-year,2011-2013,Ante-heat,FISH,1.897119985,0.98291302,-0.458699826,0.449649409,-0.009050418
1,ABUR,2,3-year,2011-2013,Ante-heat,FISH,1.299282984,0.846501136,-0.457656961,0.692111871,0.23445491
2,ABUR,1,3-year,2014-2016,Post-heat,FISH,1.540445041,0.709144575,-0.04666399,0.177890866,0.131226875
2,ABUR,2,3-year,2014-2016,Post-heat,FISH,1.203972804,0.494895404,-0.231443886,0.739630307,0.50818642
1,ABUR,1,3-year,2011-2013,Ante-heat,MOBILE INVERT,1.540445041,0.685412513,-0.397727423,0.790568813,0.39284139
1,ABUR,2,3-year,2011-2013,Ante-heat,MOBILE INVERT,0.287682072,0.547824207,-0.406528893,0.460816737,0.054287843
2,ABUR,1,3-year,2014-2016,Post-heat,MOBILE INVERT,1.203972804,0.564180662,-0.062166972,1.682311183,1.620144212
2,ABUR,2,3-year,2014-2016,Post-heat,MOBILE INVERT,0.287682072,0.024188668,-0.470930579,0.49273805,0.021807471
1,ABUR,1,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.079441542,0.216977513,0.336933707,0.124335288,0.461268995
1,ABUR,2,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.751535313,1.639910447,0.363231159,1.116954924,1.480186082
2,ABUR,1,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.538973871,0.733803147,0.981008342,1.194517338,2.17552568
2,ABUR,2,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.590267165,1.732690362,0.117223096,0.545285817,0.662508913
1,ABUR,1,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.945910149,0.978692231,0.039877446,0.429307637,0.469185084
1,ABUR,2,4-year,2010-2013,Ante-heat,SESSILE INVERT,0.810930216,0.205212531,-0.36049557,0.06232621,-0.29816936
2,ABUR,1,4-year,2014-2017,Post-heat,SESSILE INVERT,1.446918983,0.708890512,-0.213175023,0.516204042,0.30302902
2,ABUR,2,4-year,2014-2017,Post-heat,SESSILE INVERT,0.559615788,0.132887277,-0.150362053,0.040353949,-0.110008105
1,ABUR,1,4-year,2010-2013,Ante-heat,FISH,1.945910149,0.90016563,-0.535512137,0.76821338,0.232701244
1,ABUR,2,4-year,2010-2013,Ante-heat,FISH,1.252762968,0.825869228,-0.510318671,0.912995624,0.402676953
2,ABUR,1,4-year,2014-2017,Post-heat,FISH,1.504077397,0.621231125,-0.163017621,0.540585161,0.37756754
2,ABUR,2,4-year,2014-2017,Post-heat,FISH,1.32175584,0.581890181,-0.203753244,0.549751687,0.345998443
1,ABUR,1,4-year,2010-2013,Ante-heat,MOBILE INVERT,1.386294361,0.489899749,-0.536563778,0.591946906,0.055383128
1,ABUR,2,4-year,2010-2013,Ante-heat,MOBILE INVERT,0.223143551,0.330166095,-0.605964707,0.897982144,0.292017437
2,ABUR,1,4-year,2014-2017,Post-heat,MOBILE INVERT,1.011600912,0.390646184,-0.292894191,0.66685723,0.37396304
2,ABUR,2,4-year,2014-2017,Post-heat,MOBILE INVERT,0.559615788,0.145253639,-0.272617033,0.182440784,-0.090176249
1,ABUR,1,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,2.251291799,0.414769429,0.036111621,0.411815643,0.447927265
1,ABUR,2,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,2.772588722,1.627268402,0.376298392,1.307538677,1.683837069
2,ABUR,1,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,2.351375257,0.790985547,0.183637294,0.414384273,0.598021567
2,ABUR,2,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,2.788092909,1.869715674,0.014872532,0.831106054,0.845978585
1,ABUR,1,5-year,2009-2013,Ante-heat,SESSILE INVERT,1.791759469,0.896591294,-0.072918845,0.384921384,0.31200254
1,ABUR,2,5-year,2009-2013,Ante-heat,SESSILE INVERT,0.955511445,0.329317637,-0.296104309,0.260821026,-0.035283283
2,ABUR,1,5-year,2014-2018,Post-heat,SESSILE INVERT,1.435084525,0.767206573,-0.287119175,0.77259042,0.485471246
2,ABUR,2,5-year,2014-2018,Post-heat,SESSILE INVERT,1.335001067,0.233984988,-0.663068046,0.01559617,-0.647471876
1,ABUR,1,5-year,2009-2013,Ante-heat,FISH,1.945910149,0.901482471,-0.605962802,0.77514399,0.169181187
1,ABUR,2,5-year,2009-2013,Ante-heat,FISH,1.098612289,0.597321887,-0.626822105,0.743642574,0.116820469
2,ABUR,1,5-year,2014-2018,Post-heat,FISH,1.526056303,0.683680647,-0.222582046,0.59044934,0.367867294
2,ABUR,2,5-year,2014-2018,Post-heat,FISH,1.481604541,0.701293531,-0.150613437,0.570603722,0.419990285
1,ABUR,1,5-year,2009-2013,Ante-heat,MOBILE INVERT,1.280933845,0.420894328,-0.578997584,0.549972449,-0.029025135
1,ABUR,2,5-year,2009-2013,Ante-heat,MOBILE INVERT,0.470003629,0.388702965,-0.579560541,0.215443766,-0.364116774
2,ABUR,1,5-year,2014-2018,Post-heat,MOBILE INVERT,0.955511445,0.311023666,-0.576094817,1.014513842,0.438419026
2,ABUR,2,5-year,2014-2018,Post-heat,MOBILE INVERT,0.693147181,0.143809379,-0.597746594,0.410252009,-0.187494585
1,ABUR,1,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.128231706,0.463772662,0.004617551,0.376521801,0.381139351
1,ABUR,2,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.772588722,1.65170375,0.338064988,1.408040816,1.746105803
2,ABUR,1,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,2.302585093,0.721968038,0.209838648,0.436685695,0.646524343
2,ABUR,2,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,2.809402695,1.838233404,-0.028299226,0.872357996,0.844058769
1,ABUR,1,6-year,2008-2013,Ante-heat,SESSILE INVERT,1.791759469,0.911832548,-0.153678097,0.61133882,0.457660723
1,ABUR,2,6-year,2008-2013,Ante-heat,SESSILE INVERT,1.098612289,0.315009997,-0.580526676,0.367216489,-0.213310189
2,ABUR,1,6-year,2014-2019,Post-heat,SESSILE INVERT,1.466337069,0.823334457,-0.419456285,0.844652298,0.425196012
2,ABUR,2,6-year,2014-2019,Post-heat,SESSILE INVERT,1.343734747,0.29227779,-0.761961946,0.034351305,-0.727610642
