time1,time,times,year_intervals,site,sites,groups,alphaD,betaD,gammaD,alphaD2,betaD2,gammaD2,spe_sta,spe_asy,alpha_sta,spa_asy,gamma_sta
1,2011-2013,Ante-heat,3-year,ABUR,1,SESSILE INVERT,0.255933374,1.864330162,2.120263536,0.581384346,0.746236086,1.327620432,0.355677299,0.957855743,1.313533042,0.323326408,1.63685945
1,2011-2013,Ante-heat,3-year,AHND,2,SESSILE INVERT,-0.042559614,1.939679599,1.897119985,0.311981042,0.502470403,0.814451445,-8.15E-02,0.214685447,0.133209829,1.31525E-07,0.133209961
1,2011-2013,Ante-heat,3-year,AQUE,3,SESSILE INVERT,2.014903021,1.293203938,3.308106959,0.375373399,-0.138921892,0.236451507,0.555867534,0.121157972,0.677025507,0.152568917,0.829594424
1,2011-2013,Ante-heat,3-year,BULL,4,SESSILE INVERT,0.99633344,1.431414796,2.427748236,0.186163505,-0.008175067,0.177988438,0.490687449,0.012531587,0.503219035,0.021661971,0.524881007
1,2011-2013,Ante-heat,3-year,CARP,5,SESSILE INVERT,2.036881927,1.084013489,3.120895417,0.311933001,0.329045558,0.640978558,1.133036182,0.092794099,1.225830281,1.187768086,2.413598367
1,2011-2013,Ante-heat,3-year,GOLB,6,SESSILE INVERT,0.606135804,1.760987811,2.367123614,0.398940065,0.108647484,0.507587548,0.340518579,0.124393031,0.46491161,0.048431787,0.513343397
1,2011-2013,Ante-heat,3-year,IVEE,7,SESSILE INVERT,1.825892476,1.007320868,2.833213344,0.206737733,0.096890063,0.303627797,0.951121992,0.097517009,1.048639001,0.154673461,1.203312463
1,2011-2013,Ante-heat,3-year,MOHK,8,SESSILE INVERT,1.446918983,1.74492817,3.191847152,0.889535557,-0.15848003,0.731055527,0.179680552,0.268468786,0.448149337,0.022372611,0.470521948
1,2011-2013,Ante-heat,3-year,NAPL,9,SESSILE INVERT,2.621038824,0.823643669,3.444682494,0.716052697,-0.070112498,0.645940199,0.531854791,0.316433808,0.8482886,0.708114115,1.556402715
1,2011-2013,Ante-heat,3-year,SCDI,10,SESSILE INVERT,1.332805676,1.679455899,3.012261576,1.237629475,0.281719912,1.519349386,0.301174722,0.97274226,1.273916981,0.025141992,1.299058973
1,2011-2013,Ante-heat,3-year,SCTW,11,SESSILE INVERT,1.332805676,1.711716762,3.044522438,1.147354814,0.117390545,1.264745358,0.35513319,0.302882891,0.658016081,0.0020422,0.660058282
2,2014-2016,Post-heat,3-year,ABUR,1,SESSILE INVERT,-0.182321557,1.916922612,1.734601055,0.418479476,0.58788741,1.006366886,0.04014339,0.886501366,0.926644755,0.563127521,1.489772276
